5								|       4979
0								|       7777
0								|       6666
4								|       5995
0								|       6666
0								|       4444
0								|       5555
1								|       8988
0								|       6666
0								|       666
0								|       5555
0								|       4444
0								|       5555
0								|       3333
0								|       7777
0								|       3333
0								|       444
0								|       3333
0								|       777
0								|       8888
0								|       3333
0								|       7777
0								|       6666
0								|       2222
0								|       8888
0								|       6666
0								|       5555
2								|       7977
5								|       9444
1								|       4544
0								|       4444
0								|       8888
0								|       3333
2								|       7555
3								|       8555
0								|       3333
0								|       6666
1								|       2111
0								|       8888
0								|       8888
0								|       7777
3								|       9666
1								|       6766
0								|       5555
2								|       4644
0								|       6666
0								|       2222
0								|       6666
2								|       4644
0								|       2222
0								|       4444
0								|       4444
0								|       4444
0								|       3333
0								|       7777
0								|       4444
0								|       7777
0								|       3333
5								|       9444
6								|       9333
0								|       2222
1								|       8988
0								|       8888
3								|       9666
0								|       3333
0								|       3333
0								|       2222
0								|       4444
0								|       6666
0								|       7777
0								|       6666
0								|       8888
0								|       5555
0								|       3333
0								|       7777
0								|       2222
1								|       9888
1								|       9888
0								|       5555
4								|       9555
0								|       6666
0								|       666
0								|       3333
0								|       3333
0								|       5555
0								|       5555
0								|       3333
0								|       8888
0								|       333
0								|       3333
3								|       9666
0								|       2222
0								|       77
0								|       6666
3								|       8555
0								|       6666
0								|       777
0								|       4444
0								|       888
0								|       5555
